"","X","Lon","Lat","ID","Source","Temperature","Salinity","pH","Calcite","U238","U238sig","Age","U234delta","Basin","Genus","Place","Location","Site","LabID","OmegaA","TAlk","TCO2","PI_TCO2","oxygen"
"1004",1004,150.927572,-23.159214,2753,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.5303,"0.0017",5.16152968399694,144.00720777149,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1005",1005,150.927572,-23.159214,2754,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.0912,"0.0027",5.40215171332239,144.206416509647,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1006",1006,150.927572,-23.159214,2755,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.3431,"0.0019",5.97373764826921,146.267136832665,"Pacific","Pavona","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1007",1007,150.927572,-23.159214,2756,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.4909,"0.0021",6.95379008317139,145.348416453762,"Pacific","Acropora","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1008",1008,150.927572,-23.159214,2757,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.8329,"0.0018",6.28203365498301,145.784611805931,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1009",1009,150.927572,-23.159214,2758,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.0712,"0.0014",6.57103758560012,144.988058130361,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1010",1010,55.426698,-4.697575,2759,95,27.821,35.119,8.0910317103068,NA,4.408,"0.008",4.14955232026084,144.707856624939,"Indian",NA,"Seychelles,Mahe","Seychelles","Mahe","14",3.71745975812276,2307.26245117187,1977.83032226562,1913.91625976562,204.408828735351
"1011",1011,55.426698,-4.697575,2760,95,27.821,35.119,8.0910317103068,NA,3.852,"0.01",3.6860651243271,146.435759291978,"Indian",NA,"Seychelles,Mahe","Seychelles","Mahe","14",3.71745975812276,2307.26245117187,1977.83032226562,1913.91625976562,204.408828735351
"1012",1012,55.426698,-4.697575,2761,95,27.821,35.119,8.0910317103068,NA,3.865,"0.008",3.26632827081551,146.060849127034,"Indian",NA,"Seychelles,Mahe","Seychelles","Mahe","14",3.71745975812276,2307.26245117187,1977.83032226562,1913.91625976562,204.408828735351
"1013",1013,55.426698,-4.697575,2762,95,27.821,35.119,8.0910317103068,NA,4.184,"0.005",2.18383522244587,145.313922064858,"Indian",NA,"Seychelles,Mahe","Seychelles","Mahe","14",3.71745975812276,2307.26245117187,1977.83032226562,1913.91625976562,204.408828735351
